"Macrophage_M1","Macrophage_M2"
"NOS2","ARG1"
"IL12B","ARG2"
"FCGR1A","FCER2"
"CD80","IL10"
"CXCR10","FCGR2A"
"IL23A","CD163"
"CXCL9","FCER2"
"CXCL10","CD200R1"
"CXCL11","PDCD1LG2"
"CD86","CD274"
"IL1A","MARCO"
"IL1B","CSF1R"
"IL6","MRC1"
"TNF","Il1RN"
"HLA-DRA","Il1R2"
"CCL5","IL4R"
"IRF5","CCL4"
"IRF1","CCL13"
"CD40","CCL20"
"IDO1","CCL17"
"KYNU","CCL18"
"CCR7","CCL22"
"CD80","CCL24"
"CD86","LYVE1"
"HLA-DRB1","VEGFA"
"HLA-DQB1","VEGFB"
"HLA-DPB1","VEGFC"
"","VEGFD"
"","EGF"
"","CTSA"
"","CTSB"
"","CSTC"
"","CTSD"
"","TGFB1"
"","TGFB2"
"","TGFB3"
"","MMP14"
"","MMP19"
"","MMP9"
"","CLEC7A"
"","WNT7B"
"","FASLG"
"","TNFSF12"
"","TNFSF8"
"","CD276"
"","VTCN1"
"","MSR1"
"","FN1"
"","IRF4"
"",""
"","LY75 "
"","CD14"
"",""
"",""
"","PDCD1LG2"
"","CD274"
"","MRC1"
"","IL1RN"
"","CD276"
"","VTCN1"
"","MSR1"
